index, x, y
1, 0, 49
2, 1, 49
3, 2, 49
4, 3, 49
5, 4, 49
6, 5, 49
7, 6, 49
8, 7, 49
9, 8, 49
10, 9, 49
11, 10, 49
12, 11, 49
13, 12, 49
14, 13, 49
15, 14, 49
16, 15, 49
17, 16, 49
18, 17, 49
19, 18, 49
20, 19, 49
21, 20, 49
22, 21, 49
23, 22, 49
24, 23, 49
25, 24, 49
26, 25, 49
27, 26, 49
28, 27, 49
29, 28, 49
30, 29, 49
31, 0, 48
32, 1, 48
33, 2, 48
34, 3, 48
35, 4, 48
36, 5, 48
37, 6, 48
38, 7, 48
39, 8, 48
40, 9, 48
41, 10, 48
42, 11, 48
43, 12, 48
44, 13, 48
45, 14, 48
46, 15, 48
47, 16, 48
48, 17, 48
49, 18, 48
50, 19, 48
51, 20, 48
52, 21, 48
53, 22, 48
54, 23, 48
55, 24, 48
56, 25, 48
57, 26, 48
58, 27, 48
59, 28, 48
60, 29, 48
61, 30, 48
62, 0, 47
63, 1, 47
64, 2, 47
65, 3, 47
66, 4, 47
67, 5, 47
68, 6, 47
69, 7, 47
70, 8, 47
71, 9, 47
72, 10, 47
73, 11, 47
74, 12, 47
75, 13, 47
76, 14, 47
77, 15, 47
78, 16, 47
79, 17, 47
80, 18, 47
81, 19, 47
82, 20, 47
83, 21, 47
84, 22, 47
85, 23, 47
86, 24, 47
87, 25, 47
88, 26, 47
89, 27, 47
90, 28, 47
91, 29, 47
92, 30, 47
93, 31, 47
94, 0, 46
95, 1, 46
96, 2, 46
97, 3, 46
98, 4, 46
99, 5, 46
100, 6, 46
101, 7, 46
102, 8, 46
103, 9, 46
104, 10, 46
105, 11, 46
106, 12, 46
107, 13, 46
108, 14, 46
109, 15, 46
110, 16, 46
111, 17, 46
112, 18, 46
113, 19, 46
114, 20, 46
115, 21, 46
116, 22, 46
117, 23, 46
118, 24, 46
119, 25, 46
120, 26, 46
121, 27, 46
122, 28, 46
123, 29, 46
124, 30, 46
125, 31, 46
126, 32, 46
127, 0, 45
128, 1, 45
129, 2, 45
130, 3, 45
131, 4, 45
132, 5, 45
133, 6, 45
134, 7, 45
135, 8, 45
136, 9, 45
137, 10, 45
138, 11, 45
139, 12, 45
140, 13, 45
141, 14, 45
142, 15, 45
143, 16, 45
144, 17, 45
145, 18, 45
146, 19, 45
147, 20, 45
148, 21, 45
149, 22, 45
150, 23, 45
151, 24, 45
152, 25, 45
153, 26, 45
154, 27, 45
155, 28, 45
156, 29, 45
157, 30, 45
158, 31, 45
159, 32, 45
160, 33, 45
161, 0, 44
162, 1, 44
163, 2, 44
164, 3, 44
165, 4, 44
166, 5, 44
167, 6, 44
168, 7, 44
169, 8, 44
170, 9, 44
171, 10, 44
172, 11, 44
173, 12, 44
174, 13, 44
175, 14, 44
176, 15, 44
177, 16, 44
178, 17, 44
179, 18, 44
180, 19, 44
181, 20, 44
182, 21, 44
183, 22, 44
184, 23, 44
185, 24, 44
186, 25, 44
187, 26, 44
188, 27, 44
189, 28, 44
190, 29, 44
191, 30, 44
192, 31, 44
193, 32, 44
194, 33, 44
195, 34, 44
196, 0, 43
197, 1, 43
198, 2, 43
199, 3, 43
200, 4, 43
201, 5, 43
202, 6, 43
203, 7, 43
204, 8, 43
205, 9, 43
206, 10, 43
207, 11, 43
208, 12, 43
209, 13, 43
210, 14, 43
211, 15, 43
212, 16, 43
213, 17, 43
214, 18, 43
215, 19, 43
216, 20, 43
217, 21, 43
218, 22, 43
219, 23, 43
220, 24, 43
221, 25, 43
222, 26, 43
223, 27, 43
224, 28, 43
225, 29, 43
226, 30, 43
227, 31, 43
228, 32, 43
229, 33, 43
230, 34, 43
231, 35, 43
232, 0, 42
233, 1, 42
234, 2, 42
235, 3, 42
236, 4, 42
237, 5, 42
238, 6, 42
239, 7, 42
240, 8, 42
241, 9, 42
242, 10, 42
243, 11, 42
244, 12, 42
245, 13, 42
246, 14, 42
247, 15, 42
248, 16, 42
249, 17, 42
250, 18, 42
251, 19, 42
252, 20, 42
253, 21, 42
254, 22, 42
255, 23, 42
256, 24, 42
257, 25, 42
258, 26, 42
259, 27, 42
260, 28, 42
261, 29, 42
262, 30, 42
263, 31, 42
264, 32, 42
265, 33, 42
266, 34, 42
267, 35, 42
268, 36, 42
269, 0, 41
270, 1, 41
271, 2, 41
272, 3, 41
273, 4, 41
274, 5, 41
275, 6, 41
276, 7, 41
277, 8, 41
278, 9, 41
279, 10, 41
280, 11, 41
281, 12, 41
282, 13, 41
283, 14, 41
284, 15, 41
285, 16, 41
286, 17, 41
287, 18, 41
288, 19, 41
289, 20, 41
290, 21, 41
291, 22, 41
292, 23, 41
293, 24, 41
294, 25, 41
295, 26, 41
296, 27, 41
297, 28, 41
298, 29, 41
299, 30, 41
300, 31, 41
301, 32, 41
302, 33, 41
303, 34, 41
304, 35, 41
305, 36, 41
306, 37, 41
307, 0, 40
308, 1, 40
309, 2, 40
310, 3, 40
311, 4, 40
312, 5, 40
313, 6, 40
314, 7, 40
315, 8, 40
316, 9, 40
317, 10, 40
318, 11, 40
319, 12, 40
320, 13, 40
321, 14, 40
322, 15, 40
323, 16, 40
324, 17, 40
325, 18, 40
326, 19, 40
327, 20, 40
328, 21, 40
329, 22, 40
330, 23, 40
331, 24, 40
332, 25, 40
333, 26, 40
334, 27, 40
335, 28, 40
336, 29, 40
337, 30, 40
338, 31, 40
339, 32, 40
340, 33, 40
341, 34, 40
342, 35, 40
343, 36, 40
344, 37, 40
345, 38, 40
346, 0, 39
347, 1, 39
348, 2, 39
349, 3, 39
350, 4, 39
351, 5, 39
352, 6, 39
353, 7, 39
354, 8, 39
355, 9, 39
356, 10, 39
357, 11, 39
358, 12, 39
359, 13, 39
360, 14, 39
361, 15, 39
362, 16, 39
363, 17, 39
364, 18, 39
365, 19, 39
366, 20, 39
367, 21, 39
368, 22, 39
369, 23, 39
370, 24, 39
371, 25, 39
372, 26, 39
373, 27, 39
374, 28, 39
375, 29, 39
376, 30, 39
377, 31, 39
378, 32, 39
379, 33, 39
380, 34, 39
381, 35, 39
382, 36, 39
383, 37, 39
384, 38, 39
385, 39, 39
386, 0, 38
387, 1, 38
388, 2, 38
389, 3, 38
390, 4, 38
391, 5, 38
392, 6, 38
393, 7, 38
394, 8, 38
395, 9, 38
396, 10, 38
397, 11, 38
398, 12, 38
399, 13, 38
400, 14, 38
401, 15, 38
402, 16, 38
403, 17, 38
404, 18, 38
405, 19, 38
406, 20, 38
407, 21, 38
408, 22, 38
409, 23, 38
410, 24, 38
411, 25, 38
412, 26, 38
413, 27, 38
414, 28, 38
415, 29, 38
416, 30, 38
417, 31, 38
418, 32, 38
419, 33, 38
420, 34, 38
421, 35, 38
422, 36, 38
423, 37, 38
424, 38, 38
425, 39, 38
426, 40, 38
427, 0, 37
428, 1, 37
429, 2, 37
430, 3, 37
431, 4, 37
432, 5, 37
433, 6, 37
434, 7, 37
435, 8, 37
436, 9, 37
437, 10, 37
438, 11, 37
439, 12, 37
440, 13, 37
441, 14, 37
442, 15, 37
443, 16, 37
444, 17, 37
445, 18, 37
446, 19, 37
447, 20, 37
448, 21, 37
449, 22, 37
450, 23, 37
451, 24, 37
452, 25, 37
453, 26, 37
454, 27, 37
455, 28, 37
456, 29, 37
457, 30, 37
458, 31, 37
459, 32, 37
460, 33, 37
461, 34, 37
462, 35, 37
463, 36, 37
464, 37, 37
465, 38, 37
466, 39, 37
467, 40, 37
468, 41, 37
469, 0, 36
470, 1, 36
471, 2, 36
472, 3, 36
473, 4, 36
474, 5, 36
475, 6, 36
476, 7, 36
477, 8, 36
478, 9, 36
479, 10, 36
480, 11, 36
481, 12, 36
482, 13, 36
483, 14, 36
484, 15, 36
485, 16, 36
486, 17, 36
487, 18, 36
488, 19, 36
489, 20, 36
490, 21, 36
491, 22, 36
492, 23, 36
493, 24, 36
494, 25, 36
495, 26, 36
496, 27, 36
497, 28, 36
498, 29, 36
499, 30, 36
500, 31, 36
501, 32, 36
502, 33, 36
503, 34, 36
504, 35, 36
505, 36, 36
506, 37, 36
507, 38, 36
508, 39, 36
509, 40, 36
510, 41, 36
511, 42, 36
512, 0, 35
513, 1, 35
514, 2, 35
515, 3, 35
516, 4, 35
517, 5, 35
518, 6, 35
519, 7, 35
520, 8, 35
521, 9, 35
522, 10, 35
523, 11, 35
524, 12, 35
525, 13, 35
526, 14, 35
527, 15, 35
528, 16, 35
529, 17, 35
530, 18, 35
531, 19, 35
532, 20, 35
533, 21, 35
534, 22, 35
535, 23, 35
536, 24, 35
537, 25, 35
538, 26, 35
539, 27, 35
