index, temperature
1, 30.0
2, 35.2027875139
3, 40.4103715255
4, 45.6275960979
5, 50.8594016795
6, 56.1108765048
7, 61.3873120526
8, 66.6942642837
9, 72.0376227412
10, 77.4236901241
11, 82.8592756848
12, 88.3518068655
13, 93.9094651058
14, 99.541353973
15, 105.25771104
16, 111.070179891
17, 116.992166301
18, 123.039314848
19, 129.230162262
20, 135.587058123
21, 142.137504693
22, 148.916183048
23, 155.968165169
24, 163.354320628
25, 171.161162974
26, 179.520781934
27, 188.657239207
28, 199.014542031
29, 211.678335328
30, 230.0
31, 30.0
32, 35.2003892651
33, 40.4055512452
34, 45.6203055934
35, 50.8495670577
36, 56.0983961435
37, 61.372053711
38, 66.6760611705
39, 72.0162682785
40, 77.3989310351
41, 82.8308028749
42, 88.3192433357
43, 93.8723497924
44, 99.4991198732
45, 105.209655148
46, 111.01542111
47, 116.929585233
48, 122.967465415
49, 129.147138038
50, 135.490282769
51, 142.0233888
52, 148.779531166
53, 155.8010785
54, 163.143977184
55, 170.884774668
56, 179.132362776
57, 188.046816432
58, 197.861296795
59, 208.849399641
60, 220.845765211
61, 230.0
62, 30.0
63, 35.1932183012
64, 40.3911385966
65, 45.5985079726
66, 50.8201648145
67, 56.0610873004
68, 61.3264454775
69, 66.6216584086
70, 71.9524581674
71, 77.324962863
72, 82.7457614439
73, 88.22201381
74, 93.7615708549
75, 99.3731205794
76, 105.066368568
77, 110.85226417
78, 116.743288107
79, 122.75382354
80, 128.900641707
81, 135.203546116
82, 141.686236572
83, 148.377474316
84, 155.312640479
85, 162.535734942
86, 170.101595736
87, 178.077078072
88, 186.53636695
89, 195.534429074
90, 205.012201231
91, 214.533661203
92, 222.888678399
93, 230.0
94, 30.0
95, 35.1813453431
96, 40.3672768675
97, 45.5624228861
98, 50.7714969271
99, 55.9993427661
100, 61.2509824899
101, 66.5316688192
102, 71.8469431193
103, 77.2027008056
104, 82.6052662276
105, 88.0614796056
106, 93.5787992377
107, 99.1654230215
108, 104.830434375
109, 110.583978894
110, 116.437479485
111, 122.40389893
112, 128.498059133
113, 134.737023415
114, 141.140537055
115, 147.731489047
116, 154.536274159
117, 161.584726369
118, 168.908795261
119, 176.537986826
120, 184.487144224
121, 192.727851319
122, 201.131315006
123, 209.38799997
124, 217.021052392
125, 223.874459298
126, 230.0
127, 30.0
128, 35.1648862038
129, 40.3342006443
130, 45.5124097771
131, 50.7040572418
132, 55.913804347
133, 61.1464728966
134, 66.4070912592
135, 71.7009446851
136, 77.0336310124
137, 82.4111230552
138, 87.8398391472
139, 93.3267234689
140, 98.879337894
141, 104.505967015
142, 110.215737548
143, 116.018752008
144, 121.926233561
145, 127.950672481
146, 134.105951357
147, 140.407399188
148, 146.871670656
149, 153.51624074
150, 160.358101114
151, 167.410872115
152, 174.678929746
153, 182.1463718
154, 189.758516974
155, 197.397207502
156, 204.865971281
157, 211.933071902
158, 218.476784798
159, 224.483809347
160, 230.0
161, 30.0
162, 35.1439988276
163, 40.2922297289
